REGION,ISO,COUNTRY,INDICATOR,MEASURE,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,DZA,Algeria,GDP EKS,"Total GDP, in millions of 2017 US$ (converted to 2017 price level with updated 2011 PPPs)","47,723","48,057","50,204","51,302","54,308","55,931","61,419","68,386","70,868","83,849","89,575","78,695","61,992","78,360","82,465","87,953","83,705","91,532","102,222","112,005","123,220","112,721","136,391","140,829","149,419","160,062","170,608","186,070","209,932","228,830","233,077","238,947","254,266","267,437","282,231","296,930","293,923","291,871","285,763","295,403","290,726","287,237","291,833","285,697","283,126","294,020","305,193","308,550","324,278","334,655","347,372","357,793","377,830","405,033","422,450","447,374","454,910","470,254","481,352","489,209","506,899","521,210","538,884","553,972","575,023","596,299","615,977","633,248","648,303"
Africa,DZA,Algeria,Employment,Persons employed (in thousands of persons),"1,700","1,717","1,733","1,750","1,767","1,784","1,801","1,819","1,837","1,854","1,872","1,885","1,898","1,911","1,924","1,937","1,950","1,963","1,976","1,990","2,003","2,074","2,086","2,088","2,154","2,293","2,423","2,417","2,876","3,121","3,253","3,380","3,594","3,758","3,887","4,018","4,149","4,280","4,425","4,570","4,695","4,852","4,968","5,042","5,154","5,436","5,625","5,815","5,993","6,077","6,240","6,597","6,900","6,684","7,798","8,044","8,869","8,594","9,145","9,472","9,735","9,599","10,170","10,788","10,239","10,594","10,839","11,015","11,175"
Africa,DZA,Algeria,Average Hours Worked,Annual hours worked per worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,DZA,Algeria,Total Hours,Total annual hours worked (in millions of hours worked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,DZA,Algeria,Population,Midyear population (in thousands of persons),"8,893","9,073","9,280","9,532","9,611","9,842","10,057","10,271","10,485","10,696","10,909","11,122","11,001","11,273","11,613","11,963","12,339","12,760","13,146","13,528","13,932","14,335","14,761","15,198","15,653","16,140","16,635","17,153","17,686","18,230","18,806","19,407","20,034","20,681","21,341","22,008","22,643","23,255","23,881","24,496","25,089","25,722","26,387","27,045","27,647","28,208","28,721","29,200","29,649","30,083","30,515","30,952","31,397","31,847","32,320","32,785","33,286","33,866","34,480","35,126","35,805","36,507","37,217","37,934","38,657","39,383","40,102","40,804","41,490"
Africa,DZA,Algeria,Output per Employed Person,Labor productivity per person employed in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"28,068","27,993","28,964","29,313","30,734","31,348","34,094","37,598","38,588","45,219","47,844","41,749","32,667","41,014","42,872","45,417","42,933","46,631","51,726","56,295","61,515","54,350","65,372","67,432","69,380","69,796","70,424","76,971","73,003","73,324","71,645","70,685","70,757","71,165","72,604","73,907","70,842","68,188","64,576","64,640","61,922","59,200","58,743","56,663","54,933","54,088","54,256","53,061","54,109","55,069","55,669","54,236","54,758","60,597","54,171","55,614","51,293","54,717","52,636","51,648","52,070","54,298","52,988","51,351","56,160","56,286","56,831","57,491","58,012"
Africa,DZA,Algeria,Output per Hour Worked,Labor productivity per hour worked in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,DZA,Algeria,Per Capita Income,GDP per capita in 2017 US$ (converted to 2017 price level with updated 2011 PPPs),"5,366","5,296","5,410","5,382","5,651","5,683","6,107","6,658","6,759","7,839","8,211","7,076","5,635","6,951","7,101","7,352","6,784","7,173","7,776","8,279","8,844","7,863","9,240","9,266","9,546","9,917","10,256","10,848","11,870","12,552","12,394","12,312","12,692","12,932","13,225","13,492","12,981","12,551","11,966","12,059","11,588","11,167","11,060","10,564","10,241","10,423","10,626","10,567","10,937","11,124","11,384","11,560","12,034","12,718","13,071","13,646","13,667","13,886","13,960","13,927","14,157","14,277","14,480","14,603","14,875","15,141","15,360","15,519","15,626"
Africa,DZA,Algeria,GDP growth,"Growth of GDP, percent change",,1,4,2,6,3,10,11,4,18,7,-12,-21,26,5,7,-5,9,12,10,10,-9,21,3,6,7,7,9,13,9,2,3,6,5,6,5,-1,-1,-2,3,-2,-1,2,-2,-1,4,4,1,5,3,4,3,6,7,4,6,2,3,2,2,4,3,3,3,4,4,3,3,2
Africa,DZA,Algeria,Employment growth,"Growth of employment, percent change",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,0,3,6,6,0,19,9,4,4,6,5,3,3,3,3,3,3,3,3,2,1,2,5,3,3,3,1,3,6,5,-3,17,3,10,-3,6,4,3,-1,6,6,-5,3,2,2,1
